order_id,amount
1,152
2,659
3,905
4,582
5,484
6,665
7,760
8,26
9,912
10,126
11,974
12,516
13,324
14,728
15,47
16,70
17,109
18,921
19,472
20,966
21,506
22,960
23,714
24,601
25,829
26,214
27,235
28,827
29,387
30,537
31,175
32,141
33,1
34,354
35,980
36,977
37,433
38,195
39,246
40,547
41,336
42,69
43,342
44,664
45,378
46,683
47,320
48,164
49,115
50,355
51,395
52,232
53,277
54,243
55,886
56,308
57,451
58,507
59,25
60,777
61,610
62,40
63,778
64,200
65,605
66,733
67,900
68,980
69,567
70,621
71,747
72,637
73,309
74,424
75,901
76,17
77,816
78,820
79,659
80,56
81,943
82,482
83,114
84,512
85,636
86,961
87,127
88,988
89,726
90,213
91,86
92,815
93,197
94,371
95,706
96,344
97,388
98,909
99,841
100,510
101,394
102,999
103,360
104,524
105,788
106,745
107,675
108,346
109,1
110,205
111,10
112,476
113,698
114,405
115,636
116,813
117,770
118,404
119,511
120,607
121,896
122,520
123,923
124,334
125,721
126,790
127,235
128,356
129,911
130,500
131,451
132,710
133,214
134,523
135,37
136,548
137,459
138,649
139,315
140,377
141,316
142,430
143,848
144,704
145,637
146,673
147,494
148,698
149,329
150,918
151,586
152,479
153,887
154,27
155,563
156,217
157,0
158,55
159,756
160,701
161,825
162,908
163,707
164,12
165,987
166,879
167,671
168,204
169,775
170,951
171,166
172,765
173,616
174,944
175,636
176,436
177,307
178,548
179,866
180,43
181,660
182,646
183,668
184,501
185,445
186,895
187,382
188,270
189,962
190,739
191,259
192,421
193,899
194,192
195,979
196,249
197,853
198,107
199,476
200,876
201,455
202,535
203,785
204,436
205,777
206,178
207,726
208,17
209,295
210,142
211,272
212,679
213,402
214,802
215,286
216,65
217,110
218,422
219,172
220,630
221,622
222,253
223,125
224,634
225,230
226,307
227,88
228,56
229,833
230,2
231,518
232,277
233,803
234,444
235,419
236,452
237,326
238,533
239,498
240,329
241,927
242,775
243,946
244,672
245,312
246,875
247,538
248,802
249,913
250,76
251,828
252,565
253,764
254,746
255,496
256,362
257,948
258,661
259,387
260,312
261,475
262,826
263,622
